TrialNo,UntunedAcc,TunedAcc,UntunedPrec,TunedPrec,UntunedF1,TunedF1
1,0.8779443502426147,0.9221984148025513,0.8833333253860474,0.9234620928764343,0.8353815078735352,0.8993996977806091
2,0.8772305250167847,0.8515346050262451,0.8833333253860474,0.8582791090011597,0.8367884159088135,0.7985641360282898
3,0.9107779860496521,0.9122055768966675,0.9242534637451172,0.9157060384750366,0.8920130729675293,0.887539803981781
4,0.8893647193908691,0.9271948337554932,0.897230327129364,0.9308855533599854,0.8577966094017029,0.9121489524841309
5,0.8865096569061279,0.8943611979484558,0.8918722867965698,0.8954903483390808,0.8517574667930603,0.8758509755134583
